Time_Period,Time_Label,CEV_1_SOE_kWh,CEV_1_Max_SOE_kWh,CEV_1_Min_SOE_kWh
1,00:00:00,80.0,110.0,18.0
2,00:15:00,80.0,110.0,18.0
3,00:30:00,80.0,110.0,18.0
4,00:45:00,80.0,110.0,18.0
5,01:00:00,80.0,110.0,18.0
6,01:15:00,80.0,110.0,18.0
7,01:30:00,80.0,110.0,18.0
8,01:45:00,80.0,110.0,18.0
9,02:00:00,80.0,110.0,18.0
10,02:15:00,80.0,110.0,18.0
11,02:30:00,80.0,110.0,18.0
12,02:45:00,80.0,110.0,18.0
13,03:00:00,80.0,110.0,18.0
14,03:15:00,80.0,110.0,18.0
15,03:30:00,80.0,110.0,18.0
16,03:45:00,80.0,110.0,18.0
17,04:00:00,80.0,110.0,18.0
18,04:15:00,79.375,110.0,18.0
19,04:30:00,78.75,110.0,18.0
20,04:45:00,78.125,110.0,18.0
21,05:00:00,77.5,110.0,18.0
22,05:15:00,76.875,110.0,18.0
23,05:30:00,76.25,110.0,18.0
24,05:45:00,75.625,110.0,18.0
25,06:00:00,75.0,110.0,18.0
26,06:15:00,74.375,110.0,18.0
27,06:30:00,73.75,110.0,18.0
28,06:45:00,73.125,110.0,18.0
29,07:00:00,72.5,110.0,18.0
30,07:15:00,71.875,110.0,18.0
31,07:30:00,71.25,110.0,18.0
32,07:45:00,70.625,110.0,18.0
33,08:00:00,70.0,110.0,18.0
34,08:15:00,69.375,110.0,18.0
35,08:30:00,68.75,110.0,18.0
36,08:45:00,68.75,110.0,18.0
37,09:00:00,68.75,110.0,18.0
38,09:15:00,68.75,110.0,18.0
39,09:30:00,68.75,110.0,18.0
40,09:45:00,68.75,110.0,18.0
41,10:00:00,68.75,110.0,18.0
42,10:15:00,68.75,110.0,18.0
43,10:30:00,68.75,110.0,18.0
44,10:45:00,68.75,110.0,18.0
45,11:00:00,68.75,110.0,18.0
46,11:15:00,68.75,110.0,18.0
47,11:30:00,68.75,110.0,18.0
48,11:45:00,68.75,110.0,18.0
49,12:00:00,68.75,110.0,18.0
50,12:15:00,68.75,110.0,18.0
51,12:30:00,68.75,110.0,18.0
52,12:45:00,68.75,110.0,18.0
53,13:00:00,68.75,110.0,18.0
54,13:15:00,68.75,110.0,18.0
55,13:30:00,68.75,110.0,18.0
56,13:45:00,68.75,110.0,18.0
57,14:00:00,68.75,110.0,18.0
58,14:15:00,68.75,110.0,18.0
59,14:30:00,68.75,110.0,18.0
60,14:45:00,68.75,110.0,18.0
61,15:00:00,68.75,110.0,18.0
62,15:15:00,68.75,110.0,18.0
63,15:30:00,68.75,110.0,18.0
64,15:45:00,68.75,110.0,18.0
65,16:00:00,68.75,110.0,18.0
66,16:15:00,68.75,110.0,18.0
67,16:30:00,68.75,110.0,18.0
68,16:45:00,68.75,110.0,18.0
69,17:00:00,68.75,110.0,18.0
70,17:15:00,68.75,110.0,18.0
71,17:30:00,68.75,110.0,18.0
72,17:45:00,68.75,110.0,18.0
73,18:00:00,68.75,110.0,18.0
74,18:15:00,68.75,110.0,18.0
75,18:30:00,68.75,110.0,18.0
76,18:45:00,68.75,110.0,18.0
77,19:00:00,68.75,110.0,18.0
78,19:15:00,68.75,110.0,18.0
79,19:30:00,68.75,110.0,18.0
80,19:45:00,68.75,110.0,18.0
81,20:00:00,68.75,110.0,18.0
82,20:15:00,68.75,110.0,18.0
83,20:30:00,68.75,110.0,18.0
84,20:45:00,68.75,110.0,18.0
85,21:00:00,80.0,110.0,18.0
86,21:15:00,80.0,110.0,18.0
87,21:30:00,80.0,110.0,18.0
88,21:45:00,80.0,110.0,18.0
89,22:00:00,80.0,110.0,18.0
90,22:15:00,80.0,110.0,18.0
91,22:30:00,80.0,110.0,18.0
92,22:45:00,80.0,110.0,18.0
93,23:00:00,80.0,110.0,18.0
94,23:15:00,80.0,110.0,18.0
95,23:30:00,80.0,110.0,18.0
96,23:45:00,80.0,110.0,18.0
